,dwheel,year,dep_rate
0,2WD,1984,0.132294309532
1,2WD,1992,0.19992481203
2,2WD,1993,0.128225806452
3,2WD,1995,0.13662109375
4,2WD,1996,0.0875440148087
5,2WD,1999,0.113031674208
6,2WD,2001,0.096757541539
7,2WD,2008,0.264739583333
8,2WD,2011,0.316548935267
9,2WD,2015,0.611821974965
10,AWD,1988,0.0964671721245
11,AWD,1991,0.300626566416
12,AWD,1993,0.645643613793
13,AWD,1995,0.24523255814
14,AWD,1996,0.0791220457701
15,AWD,1997,0.15626758362
16,AWD,1998,0.109547508703
17,AWD,1999,0.186611609717
18,AWD,2000,0.134304605957
19,AWD,2001,0.150821820389
20,AWD,2002,0.194091873298
21,AWD,2003,0.166823619391
22,AWD,2004,0.16968324667
23,AWD,2005,0.192744611394
24,AWD,2006,0.225838773513
25,AWD,2007,0.241479848021
26,AWD,2008,0.259375949259
27,AWD,2009,0.310540427915
28,AWD,2010,0.321807309954
29,AWD,2011,0.37449971681
30,AWD,2012,0.435118628441
31,AWD,2013,0.518498833905
32,AWD,2014,0.629353087141
33,AWD,2015,0.76346266757
34,AWD,2016,0.927070992188
35,AWD,2017,1.09475082658
36,FWD,1978,0.239819004525
37,FWD,1984,0.060396278845
38,FWD,1987,
39,FWD,1991,0.0770951156812
40,FWD,1992,0.206446485441
41,FWD,1993,0.099505690819
42,FWD,1994,0.218625145153
43,FWD,1995,0.158520065942
44,FWD,1996,0.13418067899
45,FWD,1997,0.163151368517
46,FWD,1998,0.0826558969535
47,FWD,1999,0.104540280023
48,FWD,2000,0.122966427524
49,FWD,2001,0.137950717973
50,FWD,2002,0.162332221955
51,FWD,2003,0.180881589127
52,FWD,2004,0.190394242297
53,FWD,2005,0.206095353111
54,FWD,2006,0.232244172876
55,FWD,2007,0.276977986267
56,FWD,2008,0.302929363073
57,FWD,2009,0.356475396967
58,FWD,2010,0.375363140884
59,FWD,2011,0.41723307263
60,FWD,2012,0.485607481754
61,FWD,2013,0.592072379252
62,FWD,2014,0.656127620662
63,FWD,2015,0.765002910936
64,FWD,2016,0.881439782343
65,FWD,2017,0.938152536567
66,RWD,1978,0.452187028658
67,RWD,1983,0.21728226817
68,RWD,1984,0.11735460628
69,RWD,1985,0.252837243633
70,RWD,1986,0.113336519381
71,RWD,1987,0.198280896082
72,RWD,1988,0.120479104708
73,RWD,1989,0.144892266016
74,RWD,1990,0.103261286592
75,RWD,1991,0.167620465834
76,RWD,1992,0.125451108887
77,RWD,1993,0.0912507747864
78,RWD,1994,0.114011016083
79,RWD,1995,0.22715209901
80,RWD,1996,0.0928879030491
81,RWD,1997,0.121100208757
82,RWD,1998,0.111717346144
83,RWD,1999,0.147003893798
84,RWD,2000,0.133540267752
85,RWD,2001,0.144847936363
86,RWD,2002,0.148668201531
87,RWD,2003,0.161617040342
88,RWD,2004,0.188287101937
89,RWD,2005,0.20871370563
90,RWD,2006,0.230522896593
91,RWD,2007,0.237380288456
92,RWD,2008,0.265467969587
93,RWD,2009,0.30468963339
94,RWD,2010,0.34328780502
95,RWD,2011,0.380627271207
96,RWD,2012,0.457841030646
97,RWD,2013,0.544030895079
98,RWD,2014,0.631418117683
99,RWD,2015,0.728714257307
100,RWD,2016,0.829906816216
101,RWD,2017,1.05716036317
